year,importer1,importer2,flow1
2017,Chiswick Road,Chestnut Hill Ave.,18
2017,Ashmont,Green Street,48
2017,South Station,Quincy Center,4759
2017,Green Street,Ruggles,1587
2017,Symphony,Beachmont,35
2017,Mission Park,Newton Highlands,1
2017,Museum of Fine Arts,Tappan Street,2
2017,Eliot,Haymarket,33
2017,Harvard Ave.,Brookline Hills,0
2017,Quincy Adams,Kendall/MIT,1417
2017,Airport,Broadway,215
2017,Chinatown,Harvard,246
2017,Fenway,Kenmore,128
2017,JFK/Umass,Suffolk Downs,39
2017,Saint Paul Street,Oak Grove,9
2017,Mission Park,Fields Corner,6
2017,Orient Heights,North Station,280
2017,Malden Center,Brandon Hall,6
2017,Museum of Fine Arts,Beaconsfield,9
2017,Valley Road,Milton,240
2017,Chiswick Road,Boston Univ. West,49
2017,Wellington,Jackson Square,189
2017,Wollaston,Copley,597
2017,Wonderland,Hawes Street,17
2017,Boston Univ. East,Shawmut,16
2017,Fenway,Wood Island,16
2017,Prudential,Dean Road,5
2017,Saint Paul Street,Malden Center,66
2017,Andrew,Maverick,375
2017,Symphony,Quincy Center,65
2017,Butler,Wood Island,0
2017,Bowdoin,Arlington,28
2017,Maverick,Pleasant Street,24
2017,State Street,Brigham Circle,39
2017,Sutherland Road,Fenwood Road,0
2017,Longwood Medical Area,Tufts Medical Center,5
2017,North Station,Malden Center,3542
2017,Sutherland Road,Airport,12
2017,Fairbanks Street,Alewife,3
2017,Wood Island,Heath Street,6
2017,Science Park,Maverick,84
2017,Babcock Street,South Street,34
2017,Oak Grove,Kent Street,4
2017,Downtown Crossing,Longwood,45
2017,South Station,Hynes Convention Center,1140
2017,Quincy Center,Aquarium,18
2017,JFK/Umass,JFK/Umass,10
2017,Harvard,Pleasant Street,31
2017,Boston Univ. East,Blandford Street,55
2017,Mattapan,Tufts Medical Center,28
2017,Warren Street,Charles/MGH,38
2017,Boston Univ. East,Boston Univ. East,1
2017,Prudential,Boston Univ. East,3
2017,Washington Street,Boston Univ. West,98
2017,Aquarium,Ashmont,41
2017,Chestnut Hill,Harvard Ave.,53
2017,South Street,Sullivan Square,0
2017,Longwood,Riverway,0
2017,Assembly,Copley,11
2017,Sutherland Road,Porter,9
2017,Charles/MGH,Warren Street,52
2017,Stony Brook,Wonderland,36
