year,importer1,importer2,flow1
2017,Green,Green,1
2017,Green,Red,3
2017,Red,Blue,17
2017,Red,Green,37
2017,Red,Green,62
2017,Orange,Green,15
2017,Green,Black,1108
2017,Orange,Red,113
2017,Green,Black,679
2017,Green,Green,628
2017,Green,Green,0
2017,Red,Orange,532
2017,Orange,Green,20
2017,Green,Green,49
2017,Orange,Green,5
2017,Orange,Green,5
2017,Orange,Red,717
2017,Orange,Green,14
2017,Green,Red,343
2017,Green,Green,0
2017,Green,Green,6
2017,Black,Green,70
2017,Red,Green,9
2017,Orange,Orange,751
2017,Blue,Green,54
2017,Green,Red,9
2017,Orange,Green,30
2017,Green,Red,6
2017,Green,Blue,0
2017,Green,Green,12
2017,Red,Red,7
2017,Green,Green,4
2017,Red,Green,47
2017,Red,Red,587
2017,Green,Orange,20
2017,Green,Orange,0
2017,Green,Green,97
2017,Blue,Green,63
2017,Green,Red,0
2017,Green,Green,3
2017,Green,Green,34
2017,Green,Green,7
2017,Red,Green,70
2017,Orange,Green,32
2017,Green,Blue,3
2017,Red,Green,19
2017,Green,Red,4
2017,Red,Green,132
2017,Green,Red,34
2017,Blue,Green,10
2017,Green,Green,22
2017,Orange,Red,112
2017,Green,Red,6
2017,Green,Orange,14
2017,Red,Green,416
2017,Green,Green,3
2017,Green,Green,0
2017,Black,Blue,323
2017,Gray,Red,119
2017,Blue,Red,50
2017,Red,Orange,172
2017,Orange,Blue,28
2017,Blue,Blue,7
2017,Red,Green,1284
2017,Green,Green,70
2017,Green,Green,1
2017,Orange,Green,5
2017,Red,Red,479
2017,Green,Blue,50
2017,Green,Orange,2446
2017,Green,Green,434
2017,Orange,Orange,4
2017,Green,Green,0
2017,Orange,Green,1
2017,Green,Green,0
2017,Black,Orange,3770
2017,Green,Green,0
2017,Red,Orange,134
2017,Green,Green,4
2017,Green,Green,94
2017,Blue,Red,162
2017,Green,Orange,17
2017,Red,Green,8
2017,Red,Red,765
2017,Blue,Green,1
2017,Green,Red,77
2017,Orange,Black,2467
2017,Red,Red,63
2017,Orange,Green,12
2017,Green,Orange,2
2017,Green,Green,162
2017,Green,Green,1
2017,Red,Red,437
2017,Orange,Orange,1067
2017,Green,Green,4
2017,Green,Green,158
2017,Orange,Green,1
2017,Red,Green,13
2017,Red,Green,0
2017,Orange,Green,7
2017,Red,Blue,1
2017,Red,Green,4
2017,Green,Red,21
2017,Red,Black,0
2017,Green,Green,111
2017,Orange,Green,125
2017,Red,Red,11
2017,Green,Red,97
2017,Green,Orange,0
2017,Red,Red,1033
2017,Green,Red,49
2017,Orange,Blue,227
2017,Green,Green,587
2017,Green,Green,0
2017,Green,Blue,796
2017,Orange,Blue,50
2017,Green,Red,2
2017,Orange,Green,6
2017,Green,Green,0
2017,Orange,Gray,23
2017,Red,Orange,532
2017,Green,Orange,1
2017,Red,Orange,0
2017,Green,Orange,3
2017,Green,Green,6
2017,Green,Green,63
2017,Green,Green,497
2017,Blue,Green,383
2017,Green,Green,3
2017,Orange,Green,4
2017,Orange,Green,4
2017,Green,Orange,0
2017,Gray,Red,129
2017,Orange,Gray,103
2017,Green,Black,544
2017,Green,Red,14
2017,Green,Green,193
2017,Green,Orange,19
2017,Blue,Green,8
2017,Gray,Green,12
2017,Green,Green,0
2017,Red,Orange,60
2017,Orange,Green,6
2017,Red,Green,21
